! NUMBER OF COLLISION TEMPERATURES
8
! COLLISION TEMPERATURES
 15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
   86   15   2   4.8E-14 4.8E-14 5.2E-14 6.0E-14 7.0E-14 9.5E-14 1.3E-13 2.0E-13
   87   15   3   1.9E-13 2.0E-13 2.2E-13 2.6E-13 3.2E-13 4.7E-13 6.6E-13 1.1E-12
   88   15   6   5.1E-12 5.3E-12 5.9E-12 6.8E-12 7.8E-12 1.0E-11 1.3E-11 1.9E-11
   89   15   5   6.8E-13 7.1E-13 8.1E-13 9.4E-13 1.1E-12 1.5E-12 1.9E-12 3.0E-12
   90   15   4   5.2E-13 5.4E-13 5.9E-13 6.8E-13 7.8E-13 1.0E-12 1.3E-12 1.9E-12
   91   15   9   1.4E-11 1.5E-11 1.6E-11 1.8E-11 1.9E-11 2.3E-11 2.6E-11 3.2E-11
   92   15   7   9.6E-13 9.6E-13 9.9E-13 1.1E-12 1.3E-12 1.7E-12 2.2E-12 3.3E-12
   93   15   8   4.4E-12 4.5E-12 4.9E-12 5.3E-12 5.8E-12 6.8E-12 7.8E-12 9.7E-12
   94   15  14   8.4E-12 7.1E-12 4.7E-12 3.8E-12 3.4E-12 3.3E-12 3.6E-12 4.6E-12
   95   15  11   2.7E-11 2.8E-11 3.0E-11 3.3E-11 3.6E-11 4.2E-11 4.7E-11 5.7E-11
   96   15  10   2.9E-12 2.7E-12 2.4E-12 2.4E-12 2.5E-12 2.9E-12 3.5E-12 5.0E-12
   97   15  13   1.6E-12 1.6E-12 1.7E-12 1.8E-12 2.0E-12 2.3E-12 2.7E-12 3.4E-12
   98   15  12   1.5E-12 1.5E-12 1.6E-12 1.8E-12 2.1E-12 2.7E-12 3.5E-12 5.1E-12
   99   16   1   6.9E-14 7.3E-14 8.4E-14 9.9E-14 1.2E-13 1.5E-13 2.0E-13 2.9E-13
  100   16   2   1.6E-13 1.7E-13 2.0E-13 2.4E-13 3.0E-13 4.4E-13 6.2E-13 1.0E-12
  101   16   3   2.0E-12 2.0E-12 2.3E-12 2.7E-12 3.2E-12 4.2E-12 5.3E-12 7.6E-12
  102   16   6   2.3E-12 2.4E-12 2.7E-12 3.0E-12 3.3E-12 4.0E-12 4.7E-12 5.8E-12
  103   16   5   3.7E-13 3.8E-13 4.2E-13 4.8E-13 5.6E-13 7.4E-13 9.6E-13 1.5E-12
  104   16   4   5.5E-13 5.8E-13 6.8E-13 8.0E-13 9.5E-13 1.3E-12 1.7E-12 2.7E-12
  105   16   9   3.1E-12 3.2E-12 3.5E-12 4.0E-12 4.6E-12 6.0E-12 7.6E-12 1.1E-11
  106   16   7   3.7E-12 3.9E-12 4.4E-12 4.9E-12 5.5E-12 6.5E-12 7.6E-12 9.7E-12
