   83    14     5  2.4e-14 7.9e-14 1.3e-13 1.5e-13 2.2e-13 3.1e-13 4.8e-13 9.0e-13 1.4e-12 2.6e-12 3.9e-12 5.9e-12 7.1e-12 1.1e-11
   84    14     6  6.3e-14 2.1e-13 3.2e-13 3.8e-13 4.7e-13 5.8e-13 7.8e-13 1.2e-12 1.6e-12 2.5e-12 3.3e-12 4.3e-12 5.0e-12 7.0e-12
   85    14     7  3.0e-13 9.8e-13 1.5e-12 1.8e-12 2.2e-12 2.7e-12 3.5e-12 5.1e-12 6.7e-12 9.8e-12 1.3e-11 1.7e-11 2.0e-11 2.9e-11
   86    14     8  4.7e-13 1.6e-12 2.3e-12 2.6e-12 2.9e-12 3.2e-12 3.6e-12 4.2e-12 4.8e-12 5.8e-12 6.9e-12 8.2e-12 9.0e-12 1.1e-11
   87    14     9  2.3e-12 7.5e-12 1.1e-11 1.2e-11 1.4e-11 1.6e-11 1.8e-11 2.1e-11 2.5e-11 3.0e-11 3.4e-11 4.2e-11 4.7e-11 6.1e-11
   88    14    10  2.8e-12 9.3e-12 1.4e-11 1.5e-11 1.5e-11 1.5e-11 1.5e-11 1.5e-11 1.6e-11 1.8e-11 2.0e-11 2.4e-11 2.6e-11 3.2e-11
   89    14    11  9.1e-12 3.0e-11 4.4e-11 4.8e-11 5.1e-11 5.3e-11 5.6e-11 5.9e-11 6.2e-11 6.6e-11 7.0e-11 7.7e-11 8.2e-11 9.5e-11
   90    14    12  1.5e-11 5.0e-11 7.5e-11 8.0e-11 8.1e-11 7.9e-11 7.7e-11 7.6e-11 7.7e-11 8.1e-11 8.5e-11 9.9e-11 1.1e-10 1.3e-10
   91    14    13  1.7e-11 5.6e-11 8.3e-11 9.1e-11 9.5e-11 9.6e-11 9.7e-11 9.7e-11 9.8e-11 1.0e-10 1.0e-10 1.0e-10 1.0e-10 9.9e-11
   92    15     1  2.0e-16 5.3e-16 7.5e-16 8.8e-16 1.2e-15 1.8e-15 3.2e-15 7.8e-15 1.6e-14 4.5e-14 8.7e-14 1.8e-13 2.5e-13 5.2e-13
   93    15     2  6.1e-16 1.6e-15 2.3e-15 2.7e-15 3.8e-15 5.6e-15 1.1e-14 2.8e-14 5.9e-14 1.7e-13 3.2e-13 6.2e-13 8.4e-13 1.7e-12
   94    15     3  2.9e-15 7.6e-15 1.0e-14 1.2e-14 1.6e-14 2.1e-14 3.4e-14 7.1e-14 1.3e-13 3.2e-13 5.6e-13 9.9e-13 1.3e-12 2.4e-12
   95    15     4  5.7e-15 1.5e-14 2.1e-14 2.5e-14 3.4e-14 4.9e-14 8.4e-14 1.8e-13 3.4e-13 7.6e-13 1.3e-12 2.1e-12 2.7e-12 4.9e-12
   96    15     5  1.9e-14 5.0e-14 6.9e-14 7.9e-14 9.9e-14 1.3e-13 1.9e-13 3.4e-13 5.4e-13 1.0e-12 1.6e-12 2.4e-12 2.9e-12 4.7e-12
   97    15     6  5.8e-14 1.5e-13 2.2e-13 2.5e-13 3.2e-13 4.2e-13 6.3e-13 1.1e-12 1.7e-12 3.0e-12 4.3e-12 6.5e-12 7.8e-12 1.3e-11
   98    15     7  1.3e-13 3.4e-13 4.7e-13 5.2e-13 6.1e-13 7.3e-13 9.4e-13 1.4e-12 1.8e-12 2.7e-12 3.6e-12 4.7e-12 5.4e-12 7.5e-12
   99    15     8  6.2e-13 1.6e-12 2.2e-12 2.4e-12 2.8e-12 3.3e-12 4.2e-12 5.8e-12 7.5e-12 1.1e-11 1.4e-11 1.8e-11 2.1e-11 3.0e-11
  100    15     9  8.5e-13 2.3e-12 3.0e-12 3.2e-12 3.4e-12 3.6e-12 4.0e-12 4.6e-12 5.1e-12 6.2e-12 7.2e-12 8.6e-12 9.4e-12 1.2e-11
  101    15    10  4.2e-12 1.1e-11 1.5e-11 1.6e-11 1.7e-11 1.8e-11 2.0e-11 2.3e-11 2.6e-11 3.2e-11 3.6e-11 4.4e-11 4.9e-11 6.3e-11
  102    15    11  4.6e-12 1.2e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.8e-11 2.0e-11 2.4e-11 2.6e-11 3.2e-11
  103    15    12  1.7e-11 4.3e-11 5.5e-11 5.7e-11 5.8e-11 5.9e-11 6.0e-11 6.2e-11 6.5e-11 6.9e-11 7.2e-11 7.9e-11 8.4e-11 9.7e-11
  104    15    13  2.4e-11 6.5e-11 8.4e-11 8.6e-11 8.3e-11 8.1e-11 7.8e-11 7.7e-11 7.8e-11 8.1e-11 8.5e-11 9.9e-11 1.1e-10 1.3e-10
  105    15    14  3.4e-11 8.9e-11 1.1e-10 1.1e-10 1.1e-10 1.1e-10 1.0e-10 1.0e-10 1.0e-10 1.0e-10 1.1e-10 1.0e-10 1.0e-10 1.0e-10
  106    16     1  1.5e-16 2.1e-16 2.4e-16 2.7e-16 4.0e-16 6.4e-16 1.3e-15 3.8e-15 8.9e-15 2.9e-14 6.1e-14 1.4e-13 2.0e-13 4.8e-13
